"","Acct","days_from_CO_appro_to_issue","days_from_CO_appro_to_issue_scaled","count_COs","count_COs_scaled","days_since_issue","days_since_issue_scaled","CO_type","CO_sqft","CO_sqft_scaled","occupancy","CO_code_distr"
"1662","00000633820000000",123,0.128010027221943,2,0.768976256946041,444,4.25990074168863,2,16,0.000219709460651438,2,3
"1663","00000633823000000",123,0.128010027221943,2,0.768976256946041,444,4.25990074168863,2,16,0.000219709460651438,2,3
"1664","00000633826000000",123,0.128010027221943,2,0.768976256946041,444,4.25990074168863,2,16,0.000219709460651438,2,3
"1665","00000633829000000",594,0.618194765608408,1,0.38448812847302,696,6.67768224372813,2,2646,0.0363344520552315,2,3
"1666","00000633862000000",7,0.00728512350043578,1,0.38448812847302,499,4.78759114887979,2,5000,0.0686592064535743,21,3
"1667","00000633862000200",7,0.00728512350043578,1,0.38448812847302,499,4.78759114887979,2,5000,0.0686592064535743,21,3
"1668","00000633895000000",5,0.00520365964316842,1,0.38448812847302,662,6.35147362837359,2,NA,NA,20,3
"1669","00000633898000000",5,0.00520365964316842,1,0.38448812847302,662,6.35147362837359,2,NA,NA,20,3
"1670","00000633901000000",5,0.00520365964316842,1,0.38448812847302,662,6.35147362837359,2,NA,NA,20,3
"1671","00000633907000000",99,0.103032460934735,1,0.38448812847302,436,4.18314577336992,2,364,0.00499839022982021,28,3
"1672","00000633910000000",99,0.103032460934735,1,0.38448812847302,436,4.18314577336992,2,364,0.00499839022982021,28,3
"1673","00000633913000000",1,0.00104073192863368,1,0.38448812847302,386,3.70342722137796,2,1026,0.0140888691642734,20,3
"1674","00000633916000000",1,0.00104073192863368,1,0.38448812847302,386,3.70342722137796,2,1026,0.0140888691642734,20,3
"1675","00000633979000000",158,0.164435644724122,1,0.38448812847302,368,3.53072854266085,2,2500,0.0343296032267871,26,3
"1676","00000633982000000",158,0.164435644724122,2,0.768976256946041,368,3.53072854266085,2,2500,0.0343296032267871,26,3
"1677","00000634204000000",4,0.00416292771453473,1,0.38448812847302,613,5.88134944742147,2,3000,0.0411955238721446,26,3
"1678","00000634207000000",14,0.0145702470008716,2,0.768976256946041,421,4.03923020777233,2,3519,0.0483223495020256,26,3
"1679","00000634210000000",14,0.0145702470008716,2,0.768976256946041,421,4.03923020777233,2,3519,0.0483223495020256,26,3
"1680","00000634231000000",11,0.0114480512149705,1,0.38448812847302,620,5.94851004470034,2,5000,0.0686592064535743,26,3
"1681","00000634288000000",36,0.0374663494308126,2,0.768976256946041,507,4.86434611719851,2,3400,0.0466882603884305,26,3
"1682","00000634291000000",36,0.0374663494308126,1,0.38448812847302,507,4.86434611719851,2,3400,0.0466882603884305,26,3
"1683","00000634294000000",14,0.0145702470008716,1,0.38448812847302,546,5.23852658775224,2,3961,0.0543918233525215,26,3
"1684","00000634297000000",36,0.0374663494308126,2,0.768976256946041,507,4.86434611719851,2,3400,0.0466882603884305,26,3
"1685","00000634306000000",20,0.0208146385726737,1,0.38448812847302,437,4.19274014440976,2,7000,0.096122889035004,26,3
"1686","00000634333000000",5,0.00520365964316842,2,0.768976256946041,646,6.19796369173616,2,6835,0.093857135222036,26,3
"1687","00000634381000000",2,0.00208146385726737,1,0.38448812847302,441,4.23111762856912,2,4200,0.0576737334210024,26,3
"1688","00000634384000000",267,0.277875424945193,1,0.38448812847302,709,6.80240906724604,2,6035,0.0828716621894642,21,3
"1689","00000634387000000",267,0.277875424945193,1,0.38448812847302,709,6.80240906724604,2,6035,0.0828716621894642,21,3
"1690","00000634390000000",2,0.00208146385726737,2,0.768976256946041,441,4.23111762856912,2,4200,0.0576737334210024,26,3
"1691","00000634393000000",2,0.00208146385726737,1,0.38448812847302,441,4.23111762856912,2,4200,0.0576737334210024,26,3
"1692","00000634477000000",3,0.00312219578590105,2,0.768976256946041,438,4.2023345154496,2,3459,0.0474984390245827,26,3
"1693","00000634519000000",NA,NA,2,0.768976256946041,473,4.53813750184397,2,3950,0.0542407730983237,4,3
"1694","00000634552000000",12,0.0124887831436042,1,0.38448812847302,534,5.12339413527417,2,7478,0.102686709171966,26,3
"1695","00000634555000000",13,0.0135295150722379,1,0.38448812847302,541,5.19055473255304,2,11700,0.160662543101364,26,3
"1696","00000634567000000",0,0,1,0.38448812847302,424,4.06801332089185,1,NA,NA,26,3
"1697","00000634573000000",20,0.0208146385726737,1,0.38448812847302,437,4.19274014440976,2,7000,0.096122889035004,26,3
"1698","00000634576000000",20,0.0208146385726737,1,0.38448812847302,437,4.19274014440976,2,7000,0.096122889035004,26,3
"1699","00000634612000200",NA,NA,2,0.768976256946041,492,4.72043055160092,2,6000,0.0823910477442891,4,3
"1700","00000634618000000",NA,NA,2,0.768976256946041,469,4.49976001768461,2,NA,NA,2,3
"1701","00000634684000000",317,0.329912021376878,6,2.30692877083812,484,4.6436755832822,2,26100,0.358401057687658,7,3
"1702","00000639586900000",657,0.68376087711233,2,0.768976256946041,387,3.7130215924178,2,2231,0.0306357379195848,7,3
"1703","00000640504010500",69,0.0718105030757241,1,0.38448812847302,480,4.60529809912285,2,5840,0.0801939531377748,7,3
"1704","00000645457000000",8,0.00832585542906946,2,0.768976256946041,380,3.64586099513892,2,2700,0.0370759714849301,7,3
"1705","00000647353000000",1,0.00104073192863368,2,0.768976256946041,388,3.72261596345763,2,500,0.00686592064535743,7,3
"1706","00000647374000000",1,0.00104073192863368,1,0.38448812847302,464,4.45178816248542,2,880,0.0120840203358291,7,3
"1707","00000647374500000",1,0.00104073192863368,1,0.38448812847302,464,4.45178816248542,2,880,0.0120840203358291,7,3
"1708","00000653563000000",7151,7.44227402165947,1,0.38448812847302,599,5.74702825286372,NA,0,0,9,3
"1709","00000654139000000",NA,NA,1,0.38448812847302,598,5.73743388182388,2,21840,0.299903413789212,NA,3
"1710","00000654141850000",2,0.00208146385726737,1,0.38448812847302,463,4.44219379144558,2,6857,0.0941592357304318,4,3
"1711","00000654142000000",469,0.488103274529197,7,2.69141689931114,449,4.30787259688783,2,5950,0.0817044556797534,7,3
"1712","00000654142600000",78,0.0811770904334273,1,0.38448812847302,611,5.86216070534179,2,150,0.00205977619360723,28,3
"1713","00000654165600000",76,0.0790956265761599,2,0.768976256946041,505,4.84515737511883,2,3195,0.043873232923834,4,3
"1714","00000654168500000",1,0.00104073192863368,1,0.38448812847302,640,6.14039746549713,2,1400,0.0192245778070008,20,3
"1715","00000654168550000",15,0.0156109789295052,3,1.15346438541906,408,3.91450338425442,2,4800,0.0659128381954313,2,3
"1716","00000654185000000",1,0.00104073192863368,1,0.38448812847302,421,4.03923020777233,2,32015,0.439624898922236,21,3
"1717","00000654307000000",1,0.00104073192863368,1,0.38448812847302,381,3.65545536617876,2,1950,0.026777090516894,26,3
"1718","00000654469000000",5,0.00520365964316842,1,0.38448812847302,681,6.53376667813054,2,1499,0.0205840300947816,20,3
"1719","00000654490000000",85,0.0884622139338631,1,0.38448812847302,490,4.70124180952124,2,2200,0.0302100508395727,2,3
"1720","00000655129000000",1,0.00104073192863368,1,0.38448812847302,625,5.99648189989954,2,NA,NA,21,3
"1721","00000655310000000",1,0.00104073192863368,1,0.38448812847302,554,5.31528155607095,2,36180,0.496818017898064,21,3
"1722","00000655322700000",1,0.00104073192863368,1,0.38448812847302,406,3.89531464217474,2,10058,0.13811485970201,26,3
"1723","00000655322730000",64,0.0666068434325557,4,1.53795251389208,421,4.03923020777233,2,6914,0.0949419506840025,26,3
"1724","00000655322750000",1,0.00104073192863368,1,0.38448812847302,406,3.89531464217474,2,10058,0.13811485970201,26,3
"1725","00000655325850000",1,0.00104073192863368,1,0.38448812847302,617,5.91972693158083,2,163320,2.24268431959955,26,3
"1726","00000655325950100",1,0.00104073192863368,1,0.38448812847302,428,4.10639080505121,2,16500,0.226575381296795,26,3
"1727","00000655342000000",131,0.136335882651012,1,0.38448812847302,578,5.5455464610271,2,20300,0.278756378201512,26,3
"1728","00000655348000000",70,0.0728512350043578,2,0.768976256946041,434,4.16395703129024,2,45000,0.617932858082169,26,3
"1729","00000655455500100",3,0.00312219578590105,2,0.768976256946041,438,4.2023345154496,2,2361,0.0324208772873778,27,3
"1730","00000655458000000",2,0.00208146385726737,2,0.768976256946041,527,5.05623353799529,2,510,0.00700323905826458,20,3
"1731","00000655462000000",NA,NA,1,0.38448812847302,546,5.23852658775224,2,2425,0.0332997151299835,14,3
"1732","00000655468000000",1,0.00104073192863368,1,0.38448812847302,597,5.72783951078404,2,1000,0.0137318412907149,26,3
"1733","00000655521500000",1,0.00104073192863368,1,0.38448812847302,388,3.72261596345763,2,900,0.0123586571616434,20,3
"1734","00000656494000000",245,0.254979322515252,1,0.38448812847302,413,3.96247523945362,2,1536,0.021092108222538,4,3
"1735","00000657037000000",7474,7.77843043460815,1,0.38448812847302,599,5.74702825286372,NA,18750,0.257472024200904,3,3
"1736","00000658810000000",95,0.0988695332201999,6,2.30692877083812,410,3.9336921263341,2,3585,0.0492286510272128,20,3
"1737","00000658810000400",92,0.0957473374342988,1,0.38448812847302,724,6.94632463284363,2,1254,0.0172197289785564,7,3
"1738","00000660325000000",4,0.00416292771453473,6,2.30692877083812,410,3.9336921263341,2,11548,0.158575303225175,26,3
"1739","00000660343000000",7535,7.8419150822548,1,0.38448812847302,599,5.74702825286372,NA,30000,0.411955238721446,9,3
"1740","00000660346000000",NA,NA,2,0.768976256946041,367,3.52113417162101,2,3000,0.0411955238721446,5.5,3
"1741","00000660353650000",NA,NA,2,0.768976256946041,367,3.52113417162101,2,3000,0.0411955238721446,5.5,3
"1742","00000660887000000",6,0.0062443915718021,1,0.38448812847302,486,4.66286432536188,2,1357,0.0186341086315001,7,3
"1743","00000660934000000",102,0.106154656720636,1,0.38448812847302,574,5.50716897686774,2,3110,0.0427060264141232,2,3
"1744","00000662128000000",143,0.148824665794617,1,0.38448812847302,564,5.41122526646935,2,2801,0.0384628874552923,4,3
"1745","00000662581500000",1,0.00104073192863368,9,3.46039315625718,408,3.91450338425442,2,2298,0.0315557712860627,7,3
"1746","00000662582000000",97,0.100950997077467,4,1.53795251389208,429,4.11598517609105,2,5845,0.0802626123442283,7,3
"1747","00000662685000000",3,0.00312219578590105,4,1.53795251389208,382,3.6650497372186,2,1687,0.023165616257436,7,3
"1748","00000662809000000",243,0.252897858657985,1,0.38448812847302,375,3.59788913993972,2,1040,0.0142811149423435,7,3
"1749","00000662853800000",1,0.00104073192863368,1,0.38448812847302,512,4.9123179723977,2,2109,0.0289604532821176,7,3
"1750","00000662929000000",2,0.00208146385726737,1,0.38448812847302,701,6.72565409892732,2,905,0.0124273163680969,19,3
"1751","00000663028000000",456,0.474573759456959,1,0.38448812847302,688,6.60092727540941,2,800,0.0109854730325719,28,3
"1752","00000663034000000",98,0.101991729006101,1,0.38448812847302,543,5.20974347463272,2,2913,0.0400008536798524,7,3
"1753","00000663037000000",73,0.0759734307902589,2,0.768976256946041,637,6.11161435237761,2,5565,0.0764176967828282,7,3
"1754","00000663058600000",4,0.00416292771453473,1,0.38448812847302,371,3.55951165578037,2,715,0.00981826652286112,20,3
"1755","00000663059000000",1,0.00104073192863368,1,0.38448812847302,423,4.05841894985201,2,700,0.0096122889035004,7,3
"1756","00000663059020000",4,0.00416292771453473,3,1.15346438541906,599,5.74702825286372,2,1000,0.0137318412907149,20,3
