"","Shape_STAr","Shape_STLe","Acct","count_of_311"
"296",6060.57226563,321.674906431,"00000624429350000",1.38804776650029
"297",6061.67089844,359.854794465,"00000239695000000",1.38804776650029
"298",6109.28320313,322.616468847,"00000624429300000",1.38804776650029
"299",6196.11523438,349.1311073,"00000417322000000",1.38804776650029
"300",6225.09863281,349.661035618,"00000417319000000",1.38804776650029
"301",6228.921875,347.001910263,"00000180655000000",1.38804776650029
"302",6394.38085938,352.461239694,"00000417316000000",1.38804776650029
"303",6439.96386719,373.2332775,"00000227131000000",1.38804776650029
"304",6493.61621094,356.653325029,"00000145588000000",1.38804776650029
"305",6500.01464844,360.00493192,"00000194779000000",1.38804776650029
"306",6509.671875,338.119280089,"00000820814140000",1.38804776650029
"307",6543.26367188,365.513576043,"00000457453000000",1.38804776650029
"308",6545.41308594,348.016058453,"00000452428000000",1.38804776650029
"309",6553.61230469,365.944569163,"00000256858000000",1.38804776650029
"310",6568.75488281,337.899958433,"00000646165000000",1.38804776650029
"311",6578.75878906,368.992554682,"00000457456000000",1.38804776650029
"312",6602.75292969,339.762547128,"00000820814160000",1.38804776650029
"313",6651.8828125,341.573778107,"00000738166340000",1.38804776650029
"314",6654.984375,340.999629042,"00000820849600000",1.38804776650029
"315",6674.33398438,341.907779471,"00000820133340000",1.38804776650029
"316",6709.97460938,341.999383606,"00000820910560000",1.38804776650029
"317",6709.99707031,341.999901619,"00000820910520000",1.38804776650029
"318",6710.015625,342.000238981,"00000820910500000",1.38804776650029
"319",6710.01660156,342.000238976,"00000820910540000",1.38804776650029
"320",6732.85546875,373.43947128,"00000258523000000",1.38804776650029
"321",6749.97753906,389.999376415,"00000125449000000",1.38804776650029
"322",6839.89453125,376.498990339,"00000227698000000",1.38804776650029
"323",6844.07421875,344.938093891,"00000738166330000",1.38804776650029
"324",6848.02929688,333.344293504,"00000820126900000",1.38804776650029
"325",6863.70996094,380.202502322,"00000552943000000",1.38804776650029
