"","Acct","Permit_Type","PermitDate","Mapsco","Permit_Date","Count_Permits","Days_Since_Permit"
"5344","00000580984000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","24-B",2018-08-16,1,961
"5345","00000683839000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","43-F",2018-08-16,1,961
"5346","00000683836000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","43-F",2018-08-16,1,961
"5347","00000439972000000","Building (BU) Single Family  Addition","2018/08/13 00:00:00","48-S",2018-08-13,1,964
"5348","00000232867000000","Building (BU) Single Family  Addition","2018/08/14 00:00:00","37-S",2018-08-14,1,963
"5349","00000232870000000","Building (BU) Single Family  Addition","2018/08/14 00:00:00","37-S",2018-08-14,1,963
"5350","00525000000000E00","Building (BU) Single Family  Addition","2018/08/22 00:00:00","47-C",2018-08-22,1,955
"5351","005250000E0080000","Building (BU) Single Family  Addition","2018/08/22 00:00:00","47-C",2018-08-22,1,955
"5352","005250000E0090000","Building (BU) Single Family  Addition","2018/08/22 00:00:00","47-C",2018-08-22,1,955
"5353","005250000B0950000","Building (BU) Single Family  Addition","2018/08/22 00:00:00","47-C",2018-08-22,1,955
"5354","00000734656000000","Building (BU) Single Family  Addition","2018/08/20 00:00:00","15-Y",2018-08-20,1,957
"5355","00000389320000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","39-J",2018-08-16,1,961
"5356","00000389323000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","39-J",2018-08-16,1,961
"5357","00000582022000000","Building (BU) Single Family  Addition","2018/08/20 00:00:00","24-B",2018-08-20,2,957
"5358","00000582025000000","Building (BU) Single Family  Addition","2018/08/20 00:00:00","24-B",2018-08-20,2,957
"5359","00000267400000000","Building (BU) Single Family  Addition","2018/08/20 00:00:00","55-K",2018-08-20,1,957
"5360","00000267559000000","Building (BU) Single Family  Addition","2018/08/20 00:00:00","55-K",2018-08-20,1,957
"5361","00000794140370000","Building (BU) Single Family  Addition","2018/09/05 00:00:00","26-M",2018-09-05,1,941
"5362","00000391993000000","Building (BU) Single Family  Addition","2018/08/21 00:00:00","37-H,37-M",2018-08-21,1,956
"5363","00000391996000000","Building (BU) Single Family  Addition","2018/08/21 00:00:00","37-H,37-M",2018-08-21,1,956
"5364","00000757543000000","Building (BU) Single Family  Addition","2018/08/23 00:00:00","16-U",2018-08-23,1,954
"5365","00000757540000000","Building (BU) Single Family  Addition","2018/08/23 00:00:00","16-U",2018-08-23,1,954
"5366","00000518011000000","Building (BU) Single Family  Addition","2018/08/23 00:00:00","37-D",2018-08-23,1,954
"5367","00000518014000000","Building (BU) Single Family  Addition","2018/08/23 00:00:00","37-D",2018-08-23,1,954
"5368","00000375181000000","Building (BU) Single Family  Addition","2018/08/21 00:00:00","38-J",2018-08-21,1,956
"5369","00000375178000000","Building (BU) Single Family  Addition","2018/08/21 00:00:00","38-J",2018-08-21,1,956
"5370","003779000B01E0000","Building (BU) Single Family  Addition","2018/09/07 00:00:00","44-V",2018-09-07,1,939
"5371","00000308326000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","53-F",2018-08-16,1,961
"5372","00000308323000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","53-F",2018-08-16,1,961
"5373","00000722416000000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","15-Z,25-D",2018-08-24,1,953
"5374","00000529375000000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","24-S",2018-08-24,1,953
"5375","00000529378000000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","24-S",2018-08-24,1,953
"5376","006227028E0030000","Building (BU) Single Family  Addition","2018/08/28 00:00:00","58-B",2018-08-28,1,949
"5377","00000796937220000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","15-C",2018-08-24,1,953
"5378","00000727444000000","Building (BU) Single Family  Addition","2018/08/27 00:00:00","38-X",2018-08-27,1,950
"5379","00000727441000000","Building (BU) Single Family  Addition","2018/08/27 00:00:00","38-X",2018-08-27,1,950
"5380","00000718573000000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","28-S",2018-08-24,1,953
"5381","00000718576000000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","28-S",2018-08-24,1,953
"5382","00000588079000000","Building (BU) Single Family  Addition","2018/09/26 00:00:00","23-H",2018-09-26,1,920
"5383","00000588082000000","Building (BU) Single Family  Addition","2018/09/26 00:00:00","23-H",2018-09-26,1,920
"5384","00000402117460000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","26-W",2018-08-24,1,953
"5385","00000402117440000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","26-W",2018-08-24,1,953
"5386","00000691027000000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","42-G",2018-08-24,1,953
"5387","00000691024000000","Building (BU) Single Family  Addition","2018/08/24 00:00:00","42-G",2018-08-24,1,953
"5388","00000518542000000","Building (BU) Single Family  Addition","2018/10/09 00:00:00","37-D",2018-10-09,1,907
"5389","00000518539000000","Building (BU) Single Family  Addition","2018/10/09 00:00:00","37-D",2018-10-09,1,907
"5390","007567000N0540000","Building (BU) Single Family  Addition","2018/11/02 00:00:00","74-B",2018-11-02,1,883
"5391","00000360307000000","Building (BU) Single Family  Addition","2018/08/23 00:00:00","52-M",2018-08-23,1,954
"5392","00000360304000000","Building (BU) Single Family  Addition","2018/08/23 00:00:00","52-M",2018-08-23,1,954
"5393","00000677053000000","Building (BU) Single Family  Addition","2018/08/28 00:00:00","44-K",2018-08-28,1,949
"5394","00000677052000000","Building (BU) Single Family  Addition","2018/08/28 00:00:00","44-K",2018-08-28,1,949
